# input file type
# mention how many orders of 5 parameters to calculate.
# X1    X2    X3    X4    X5 
1     1     1     1     0
# X1_values    X2_values    X3_values    X4_values    X5_values    Y_true_values
-335.000    -0.0273231     -16.98760    8.42994e-05     0.00000    0.01410
-335.000    -0.0274429     1.25329      -0.00025796     0.00000    0.01410 
-335.000    -0.0269559     18.79370     -0.000408058    0.00000    0.01410
-335.000    -0.0249805     34.74920     -0.000932355    0.00000    0.01410 
-335.000    -0.0107006     -26.88240    0.00148231      0.00000    0.00710
-335.000    -0.00869977    -13.04880    0.000746128     0.00000    0.00710
-335.000    -0.00807093    1.52355      -0.000109781    0.00000    0.00710 
-335.000    -0.00802764    15.67260     -0.000943874    0.00000    0.00710
-335.000    -0.00781611    29.51760     -0.00208183     0.00000    0.00710 
-335.000    0.0101744      -16.07800    0.00330024      0.00000    0.00000
-335.000    0.011637       -6.97707     0.000553618     0.00000    0.00000
-335.000    0.0112246      1.91511      -2.79253e-05    0.00000    0.00000 
-335.000    0.0121723      11.16320     -0.00199648     0.00000    0.00000
-335.000    0.0117373      19.54910     -0.00357199     0.00000    0.00000 
